NIM;Kepulauan Asal Lahir;Jurusan Sekolah;Profil Sekolah;Jalur Pendaftaran;IPK1;IPK2;IPK3;IPK4;jumlah Matakuliah D/E/F;jumlah sks d/e/f;IPK 60 SKS;total sks semester 1-3;total SKS semester 1-4;Status
9561d243dc929cf30918eda16083c833;Jawa;SMA;NEGERI;TES;2.56;2.55;2.55;1.91;2;5;1.91;38;54;SISIP
96ee183d7dff06c50f99e1fbfdf7a5d9;Papua & Maluku;SMA;SWASTA;RAPORT;0.33;0.33;0.33;0.33;5;15;0.33;18;18;SISIP
976cd2000224c3e060e4ee286764d5f4;Bali & NTT;SMA;SWASTA;TES;0.94;1.11;0.72;0.72;14;45;0.72;58;58;SISIP
97e7327efacc96d0d4001fd6f10ba6ba;Jawa;SMA;NEGERI;TES;2.62;2.88;2.87;2.86;1;2;2.97;60;79;TIDAK SISIP
980c24b57164dd394d566787d2c5f244;Jawa;SMK;SWASTA;RAPORT;2.87;2.94;3.08;3.07;2;6;3.15;60;82;TIDAK SISIP
986cf0d4a02325d6bbc4add0a09abbb1;Papua & Maluku;SMA;NEGERI;RAPORT;1.89;1.37;0.9;0.9;12;41;0.90;58;58;SISIP
9b45289c0a09779d63efd1d8562a9678;Papua & Maluku;SMA;NEGERI;TES;1.22;1.26;1.31;0.99;11;33;1.25;58;77;SISIP
9b7d43cb7015efde118a3f7f83033eb8;Sulawesi;SMA;NEGERI;RAPORT;3.61;3.82;3.82;3.86;0;0;3.94;60;79;TIDAK SISIP
9c97bfa804f358d17ec42500a4e5d068;Jawa;SMA;SWASTA;TES;3.33;3.35;3.37;3.34;0;0;3.52;63;85;TIDAK SISIP
9d0b96fa8cff70f4a85f0d94efe37963;Jawa;HOMESCHOOLING;SWASTA;RAPORT;2.53;2.12;1.58;1.58;9;28;1.89;58;77;SISIP
9d0c7fb88de82805a89f45f9e7fbd780;Jawa;SMA;NEGERI;RAPORT;2.61;1.32;0.86;0.86;13;40;0.86;58;58;SISIP
9e9a2f21baedf658d9250f870c651b7b;Kalimantan;SMA;SWASTA;RAPORT;2.72;2.75;2.68;2.65;1;4;2.85;60;82;TIDAK SISIP
9f73c8243bdd39e0d46408294d91a42e;Sumatera;SMA;SWASTA;TES;2.83;2.92;2.83;2.82;1;2;2.98;58;77;TIDAK SISIP
9ff63e035c251181b1d4fd3323ceaa44;Sumatera;SMA;SWASTA;TES;3.17;3.15;3.02;2.89;0;0;3.11;60;79;TIDAK SISIP
a08c184ae13a60f974ff7023f6df3594;Jawa;SMA;NEGERI;RAPORT;3.72;3.66;3.67;3.73;0;0;3.89;61;82;TIDAK SISIP
a10e6f8d235ab9543701accfcf6a7a03;Jawa;SMA;NEGERI;RAPORT;3.22;3.27;3.12;3.1;2;5;3.34;60;79;TIDAK SISIP
a22609ed96c81ff1f6e84aa5b31911a0;Jawa;SMA;SWASTA;RAPORT;3;2.89;2.67;2.64;1;2;2.77;60;79;TIDAK SISIP
a5e08658dbba00e346df630a747e857d;Sumatera;SMK;NEGERI;RAPORT;2.5;2.58;2.8;2.86;3;8;3.21;58;77;TIDAK SISIP
a8e24c5e9fce7526c5a3e42535532de8;Jawa;SMA;SWASTA;RAPORT;3.17;3.18;3.18;3.3;0;0;3.37;60;79;TIDAK SISIP
a90db62f12752a527f306ec706315b64;Jawa;SMK;NEGERI;TES;0;0;0;0;5;15;0.00;18;18;SISIP
aa6dedd83ae760ca665296e2e41b26b3;Jawa;SMA;SWASTA;RAPORT;2.83;3.05;2.9;3.04;0;0;3.20;61;82;TIDAK SISIP
abc71fc160747f0659fee57e5058a568;Jawa;SMA;SWASTA;TES;2.89;2.82;2.52;2.54;2;6;2.83;58;77;TIDAK SISIP
ae2d5e91227a7a43c209f95b2d005132;Jawa;SMA;NEGERI;TES;3.72;3.62;3.53;3.48;0;0;3.62;60;79;TIDAK SISIP
b2ae224b2dfbf81cb8933e497c116397;Jawa;SMA;NEGERI;RAPORT;3.72;3.61;3.48;3.54;0;0;3.68;61;82;TIDAK SISIP
b761e6f88a5ef567c6e284c48bb93c1a;Kalimantan;SMA;NEGERI;TES;2.72;2.67;2.6;2.59;2;5;2.82;58;77;TIDAK SISIP
b76b219d6b1990dd8cb01d22245bb3b6;Jawa;SMA;SWASTA;RAPORT;3.17;3.05;3.02;3.22;0;0;3.40;60;79;TIDAK SISIP
b7fec611134d3aba08273cd84e70fc2b;Jawa;SMK;NEGERI;TES;3.22;3.32;3.13;3.14;0;0;3.34;60;82;TIDAK SISIP
ba7bc8648287fbb52117150fe6d129cb;Jawa;SMK;NEGERI;RAPORT;3.22;3;2.7;2.7;2;5;3.02;60;79;TIDAK SISIP
bc1ed4b118555d9440574ad6c5fae27d;Jawa;SMK;NEGERI;RAPORT;3.5;3.52;3.52;3.52;0;0;3.65;60;79;TIDAK SISIP
bc4f9fcf9a22b71571aa85e0f6fa64f1;Sulawesi;SMK;SWASTA;TES;3;2.86;3;2.9;1;3;3.05;58;77;TIDAK SISIP
be0d6e6a6ba4c97a081203f51efd7c11;Jawa;SMA;NEGERI;TES;3.83;3.68;3.73;3.73;0;0;3.81;60;82;TIDAK SISIP
bfc1da46680c4153f981a30468f63593;Sumatera;SMA;SWASTA;TES;2.83;2.95;2.97;2.9;3;8;3.33;60;79;TIDAK SISIP
c08dd37d3cb80ef9a172845b268a855d;Kalimantan;SMA;NEGERI;RAPORT;2.5;2.62;2.55;2.62;5;18;2.60;60;82;TIDAK SISIP
c2a8ce2fbd2afd8b8987005b3f950a49;Papua & Maluku;SMA;SWASTA;RAPORT;3.44;3.39;3.22;3.35;0;0;3.43;58;79;TIDAK SISIP
c38efc2d5d2726ee1995ad20ed7bd471;Bali & NTT;SMA;SWASTA;RAPORT;2.78;2.94;2.67;2.66;1;3;2.80;60;82;TIDAK SISIP
c4f6b1aec70f87c1e108b07857d37824;Papua & Maluku;SMA;SWASTA;TES;2.83;1.42;1.42;1.42;6;18;1.34;38;38;SISIP
c6e3c37154d1355718196254f6b35e59;Jawa;SMA;NEGERI;RAPORT;3.72;3.45;3.38;3.52;0;0;3.58;58;79;TIDAK SISIP
c9501947f1b4e92d9ad61cbd178dbf57;Jawa;SMA;SWASTA;RAPORT;3.72;3.52;3.43;3.37;0;0;3.39;60;79;TIDAK SISIP
cdeb0608c99b6c3107e636b3264aaa70;Jawa;SMA;NEGERI;TES;3.17;3.24;3.04;3.05;1;3;3.03;60;79;TIDAK SISIP
ceb717cbc911dab1307bedc4ff70c050;Jawa;SMA;SWASTA;RAPORT;3.22;2.97;3.09;3.16;0;0;3.39;58;77;TIDAK SISIP
cebfb9fe9699a60aaf4a2fa82e821219;Jawa;SMA;SWASTA;TES;2.89;3.05;2.98;3.01;0;0;3.15;58;79;TIDAK SISIP
d151a3c27d928c59d52b585cabf192d6;Sumatera;SMA;SWASTA;TES;2.75;2.81;2.74;2.77;1;2;2.92;56;75;TIDAK SISIP
d670891705aad78cf620bc5bede4ff6b;Kalimantan;SMA;SWASTA;RAPORT;2.94;2.45;2.26;1.7;3;11;2.15;58;77;TIDAK SISIP
d8875dc5e2d72180927666e5b74ac779;Jawa;SMA;NEGERI;RAPORT;2.83;3.13;3.07;3.14;0;0;3.18;58;79;TIDAK SISIP
d992bb91f20ce7011e79542dd683a281;Sumatera;SMA;SWASTA;RAPORT;3.06;3.06;3.06;3.06;1;2;3.06;18;18;SISIP
da5e4b4704f9af26c8e69877b9de0d10;Jawa;SMA;NEGERI;RAPORT;2.89;3.18;3.1;3.2;0;0;3.18;58;79;TIDAK SISIP
df76f2d628fae7f2c3580d020978ab9e;Jawa;SMA;NEGERI;TES;3.44;3.48;3.6;3.62;0;0;3.69;60;79;TIDAK SISIP
e1bfdb7ddc89a5ec24d58b3eb444346f;Bali & NTT;SMA;NEGERI;RAPORT;4;4;4;3.96;0;0;4.00;60;79;TIDAK SISIP
e503a16d137d8274d27c17972531c018;Sumatera;SMA;SWASTA;RAPORT;3;3.02;3.07;3.1;0;0;3.13;60;79;TIDAK SISIP
e5c81cf22455d3f16f4f584cecb186e3;Jawa;SMA;NEGERI;TES;3.28;3.34;3.22;3.34;0;0;3.40;58;77;TIDAK SISIP
e68b64f09fd5e8276cfa94b15cead249;Kalimantan;SMA;NEGERI;TES;2.67;2.5;2.41;2.49;5;12;2.66;58;77;TIDAK SISIP
e702c1fa40c17cac62048ce8f4e2a50b;Bali & NTT;SMA;NEGERI;RAPORT;3.33;3.29;3.24;3.2;0;0;3.40;58;79;TIDAK SISIP
e8f496ff915bd9e6e8ee6b412153decf;Bali & NTT;SMA;NEGERI;TES;3.28;3.03;3;3.04;0;0;3.20;60;79;TIDAK SISIP
e9ee613027b2288ec46ec5237c1524f9;Jawa;SMK;SWASTA;RAPORT;3.72;3.65;3.65;3.73;0;0;3.77;60;79;TIDAK SISIP
f151ac0ccf287f2b208ae20ead180d1b;Sumatera;SMA;SWASTA;RAPORT;2.5;2.61;2.4;2.59;0;0;2.67;58;79;TIDAK SISIP
f7c7e08c7c491953a6d6e9e72234b12c;Bali & NTT;SMA;SWASTA;TES;2.78;2.86;2.96;2.93;2;5;3.10;58;79;TIDAK SISIP
f7e1227e90895ac6aebe04f1adefed30;Sumatera;SMA;SWASTA;TES;3.11;2.97;3.05;3.04;2;6;3.34;60;79;TIDAK SISIP
fc07b7ce84a3d54fe7a8e8d34a7dcc63;Jawa;SMA;NEGERI;TES;3.56;3.42;3.4;3.22;0;0;3.48;58;79;TIDAK SISIP
ff7f3adcd7e58dacf0d929bc673ab3f2;Sumatera;SMA;NEGERI;RAPORT;3.11;2.76;2.53;1.91;2;6;2.41;58;80;TIDAK SISIP
02d59ba96f3356e3e6c02ac39cc9d680;Bali & NTT;SMA;SWASTA;TES;3.89;3.85;3.8;3.71;0;0;3.95;61;83;TIDAK SISIP
04584196e07a9ce479a3b1427b0cd6a5;Jawa;SMK;SWASTA;TES;0;0;0;0;4;13;0.00;18;18;SISIP
04eba92d0b5c40fc31557c3efd659b85;Jawa;SMA;SWASTA;RAPORT;2.39;2.41;2.24;2.31;3;10;2.59;60;80;TIDAK SISIP
0583f41ef65e4f6be535a2c81eeb3c69;Jawa;SMA;SWASTA;TES;2.69;2.75;2.7;2.75;1;2;2.85;61;79;TIDAK SISIP
0631a91e509b414260c6fde6fa121144;Kalimantan;SMA;SWASTA;RAPORT;3.5;3.39;3.36;3.47;1;2;3.67;61;79;TIDAK SISIP
07f97ba8419fab0f2ccf6846cc2904fb;Jawa;SMA;SWASTA;TES;3.78;3.5;3.56;3.53;0;0;3.79;60;82;TIDAK SISIP
0b1c7338cd410f0b45f4ddbdafa82aa6;Jawa;SMA;SWASTA;RAPORT;1.72;0.92;0.92;0.92;9;25;0.87;38;38;SISIP
0b8d7f639db73c7788573d5baecf8dcc;Sumatera;SMA;NEGERI;TES;3.33;3.25;3.35;3.33;0;0;3.50;60;82;TIDAK SISIP
